variable,age,medu,fedu,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3
age,1,-0.13019611477578152,-0.13852076136098063,0.049215707305066865,-0.007870098434199484,0.2823635662358866,0.007161921307378481,0.0026451474325022467,0.11851012358040956,0.13345298969305175,0.09829140593269725,-0.029129265406922646,0.15319564731325264,-0.12412124934285265,-0.11947474383942859,-0.12528243256718033
medu,-0.13019611477578152,1,0.6420631457185736,-0.23818072753821298,0.09061637748308264,-0.1877694044352411,0.015003617940617145,0.0010542190548592386,0.025614278133612077,0.001515096682401605,-0.029330540966529716,-0.013254089982053265,0.059707676187788786,0.22610060216874323,0.2246617478041882,0.20147169024090747
fedu,-0.13852076136098063,0.6420631457185736,1,-0.19632816050131202,0.03345787446825547,-0.1913904210415151,0.013065914966308075,0.0021417298230892415,0.030074876360339533,-1.6483927700535985e-4,0.019523934159990503,0.03428823772981228,0.040828885543565785,0.19589802089664723,0.18263396193855544,0.15979604944494485
traveltime,0.049215707305066865,-0.23818072753821298,-0.19632816050131202,1,-0.08132801567096881,0.08717749467240622,-0.012577521832956826,-0.007402577550516205,0.04973978261225056,0.10942301622612073,0.08429240374227508,-0.0290019778160276,-0.022668699216970845,-0.12105330105413871,-0.14016297283935203,-0.10262711753091307
studytime,-0.007870098434199484,0.09061637748308264,0.03345787446825547,-0.08132801567096881,1,-0.15202352345544812,0.012324092551609853,-0.09442934462423619,-0.07294073912226752,-0.15966464126505264,-0.22907314839875179,-0.06304445862185747,-0.075593669256299,0.21131391453042983,0.18316670187165568,0.1616289352029381
failures,0.2823635662358866,-0.1877694044352411,-0.1913904210415151,0.08717749467240622,-0.15202352345544812,1,-0.053676457318165664,0.10267875723186058,0.07468330849999587,0.11633579007829054,0.10743159319648518,0.04831102325776826,0.09999785373029686,-0.37417487229127966,-0.3771721764168954,-0.3831452797182744
famrel,0.007161921307378481,0.015003617940617145,0.013065914966308075,-0.012577521832956826,0.012324092551609853,-0.053676457318165664,1,0.13690064973082108,0.0806192116682331,-0.07648265722018177,-0.10066337519496311,0.10410077551352125,-0.06217066187297301,0.03694727393438934,0.0420536213821626,0.05446105940363315
freetime,0.0026451474325022467,0.0010542190548592386,0.0021417298230892415,-0.007402577550516205,-0.09442934462423619,0.10267875723186058,0.13690064973082108,1,0.323555752586062,0.14497912789070172,0.1303770282925455,0.08151722469205304,-0.032078736246112405,-0.05198471239311467,-0.06895188579173901,-0.06488967904803561
goout,0.11851012358040956,0.025614278133612077,0.030074876360339533,0.04973978261225056,-0.07294073912226752,0.07468330849999587,0.0806192116682331,0.323555752586062,1,0.25313482908750257,0.3997937258939357,-0.013736234816252685,0.05614214423926907,-0.10116346812856607,-0.1084108949623635,-0.09787725968844037
dalc,0.13345298969305175,0.001515096682401605,-1.6483927700535985e-4,0.10942301622612073,-0.15966464126505264,0.11633579007829054,-0.07648265722018177,0.14497912789070172,0.25313482908750257,1,0.6278138379900974,0.06551534222161008,0.13286713446689646,-0.15094253743200411,-0.13157648400886854,-0.12964212480071227
walc,0.09829140593269725,-0.029330540966529716,0.019523934159990503,0.08429240374227508,-0.22907314839875179,0.10743159319648518,-0.10066337519496311,0.1303770282925455,0.3997937258939357,0.6278138379900974,1,0.10666944423149795,0.13970313453795197,-0.14240139672370913,-0.12811434653927387,-0.11574000357145982
health,-0.029129265406922646,-0.013254089982053265,0.03428823772981228,-0.0290019778160276,-0.06304445862185747,0.04831102325776826,0.10410077551352125,0.08151722469205304,-0.013736234816252685,0.06551534222161008,0.10666944423149795,1,-0.02747859779464669,-0.06047793985656547,-0.08800109398831327,-0.08007863958257862
absences,0.15319564731325264,0.059707676187788786,0.040828885543565785,-0.022668699216970845,-0.075593669256299,0.09999785373029686,-0.06217066187297301,-0.032078736246112405,0.05614214423926907,0.13286713446689646,0.13970313453795197,-0.02747859779464669,1,-0.0924246318260313,-0.08933169411291365,-0.04567057698837368
g1,-0.12412124934285265,0.22610060216874323,0.19589802089664723,-0.12105330105413871,0.21131391453042983,-0.37417487229127966,0.03694727393438934,-0.05198471239311467,-0.10116346812856607,-0.15094253743200411,-0.14240139672370913,-0.06047793985656547,-0.0924246318260313,1,0.8587387525170549,0.8091417205401173
g2,-0.11947474383942859,0.2246617478041882,0.18263396193855544,-0.14016297283935203,0.18316670187165568,-0.3771721764168954,0.0420536213821626,-0.06895188579173901,-0.1084108949623635,-0.13157648400886854,-0.12811434653927387,-0.08800109398831327,-0.08933169411291365,0.8587387525170549,1,0.9107431630583618
g3,-0.12528243256718033,0.20147169024090747,0.15979604944494485,-0.10262711753091307,0.1616289352029381,-0.3831452797182744,0.05446105940363315,-0.06488967904803561,-0.09787725968844037,-0.12964212480071227,-0.11574000357145982,-0.08007863958257862,-0.04567057698837368,0.8091417205401173,0.9107431630583618,1
